id,workbook_row,variable,meaning,priority,mode,implementation,evidence_group,mapping,remaining_work
SV008,231,Services.BuildCommit,Source revision for each service when available from controlled build metadata.,Required,Both,partial,services,ServerBuildInfo covers daphne-server; no per-service build/version fields,Add controlled provenance for each service executable/script package without guessing versions from active state or compiler dependencies.
SV009,232,Services.FunctionalReady,"Service-specific readiness based on its function, separate from systemd Active/State.",Required,Both,partial,services,FPGA prerequisite checklist includes selected system-level dependencies,Define per-service functional readiness/dependency evidence; active systemd units and top-level health are not equivalents.
SV010,233,Services.DependencyState,"Observed dependency readiness for firmware, clockchip, endpoint, Hermes and board service.",Required,Both,partial,services,FPGA prerequisite checklist includes selected system-level dependencies,Define per-service functional readiness/dependency evidence; active systemd units and top-level health are not equivalents.
SV011,234,Services.LastFailureReason,Bounded failure/exit diagnostic with service identity and event time.,Required,Both,partial,services,ServiceStatus.result/exec_main_code/exec_main_status and invocation ID,Add bounded failure event reason/time with privacy filtering; a current result enum is not complete last-failure audit.
SV012,235,Services.EndpointListening,Whether the specific local service has bound/listens on its configured endpoint.,Required,Both,missing,services,No per-service listening endpoint or resource-lock observation,Bind observed endpoint/lock ownership to the intended process/invocation; do not infer from service Active.
SV013,236,Services.LockHeld,Whether a named service currently holds a resource or operation lock.,Required,Both,missing,services,No per-service listening endpoint or resource-lock observation,Bind observed endpoint/lock ownership to the intended process/invocation; do not infer from service Active.
SV014,237,Services.LockOwner,Authenticated principal/operation holding a service resource lock.,Required,Both,contract-pending,authority,No authenticated lock principal or lease expiry contract,Establish whether leases exist and how authenticated ownership is propagated/enforced; never invent an expiry.
SV015,238,Services.LockExpiresAt,"Expiry time of a service resource lease, if that service uses leases.",Required,Both,contract-pending,authority,No authenticated lock principal or lease expiry contract,Establish whether leases exist and how authenticated ownership is propagated/enforced; never invent an expiry.
SV016,239,Server.HeartbeatSequence,Monotonic server heartbeat sequence while the process is alive.,Required,Both,implemented,bookkeeping,ServerState heartbeat_sequence/instance_id/configuration_in_progress/applied_configuration_hash/last_configuration_result,Implemented source contract with live busy-Configure and failure/invalidation tests; known local scope remains explicit.
SV017,240,Server.InstanceId,"Unique identifier for this server process incarnation, changing at restart.",Required,Both,implemented,bookkeeping,ServerState heartbeat_sequence/instance_id/configuration_in_progress/applied_configuration_hash/last_configuration_result,Implemented source contract with live busy-Configure and failure/invalidation tests; known local scope remains explicit.
SV018,241,Server.ConfigurationInProgress,Whether the board executor is currently applying a configuration.,Required,Both,implemented,bookkeeping,ServerState heartbeat_sequence/instance_id/configuration_in_progress/applied_configuration_hash/last_configuration_result,Implemented source contract with live busy-Configure and failure/invalidation tests; known local scope remains explicit.
SV019,242,Server.AppliedConfigurationHash,Hash of the successfully applied canonical configuration and its hardware profile.,Required,Both,implemented,bookkeeping,ServerState heartbeat_sequence/instance_id/configuration_in_progress/applied_configuration_hash/last_configuration_result,Implemented source contract with live busy-Configure and failure/invalidation tests; known local scope remains explicit.
SV020,243,Server.AppliedConfigurationValid,"Whether the applied configuration remains valid after resets, mode changes or protective actions.",Required,Both,partial,bookkeeping,ServerState.applied_configuration_valid and invalidation_reason,"Tracks known local changes/protective actions and observed mismatches, not every external reset, identical reload or out-of-band change."
SV021,244,Server.LastConfigurationResult,"Result and reason for the most recent attempted configuration, correlated with its request.",Required,Both,implemented,bookkeeping,ServerState heartbeat_sequence/instance_id/configuration_in_progress/applied_configuration_hash/last_configuration_result,Implemented source contract with live busy-Configure and failure/invalidation tests; known local scope remains explicit.
SV022,245,FullStream.ShadowSelector,"Readback of each AXI-domain shadow selector, not the currently committed stream-domain bank.",Required,Full-stream,partial,fullstream,Internal full-stream shadow write/readback and requested-enable/active-ack polling during Configure,Add typed read-only ongoing observations with exact shadow/request/ack semantics; full-stream hardware qualification missing.
SV023,246,FullStream.EnableRequestReadback,Readback of the full-stream requested-enable bit.,Required,Full-stream,partial,fullstream,Internal full-stream shadow write/readback and requested-enable/active-ack polling during Configure,Add typed read-only ongoing observations with exact shadow/request/ack semantics; full-stream hardware qualification missing.
SV024,247,FullStream.ActiveAcknowledgement,Synchronized acknowledgement that the stream-clock domain is active.,Required,Full-stream,partial,fullstream,Internal full-stream shadow write/readback and requested-enable/active-ack polling during Configure,Add typed read-only ongoing observations with exact shadow/request/ack semantics; full-stream hardware qualification missing.
SV025,248,FullStream.LastCommittedPlan,Server record of the plan associated with the last acknowledged activation.,Required,Full-stream,partial,fullstream,Canonical applied hash includes full-stream channel plan after acknowledged activation,Hash is not an exported last committed plan/epoch; expose retained plan with ack identity and invalidation semantics.
SV029,249,Overlay.SelectedProfile,Profile actually selected by the overlay manager; compared to requested deployment profile.,Required,Both,partial,overlay,ConfiguredGatewareApp label only,"Need authoritative selected profile and comparison to requested profile, not a file label."
SV030,250,Overlay.TransitionState,"Overlay lifecycle transition state, including quiescing, unloading, loading and verification.",Required,Both,missing,overlay,No typed overlay transition/last-result producer,Consume bounded authoritative lifecycle events with identity/time; do not infer from a successful service oneshot.
SV031,251,Overlay.LastResult,Result and diagnostic from the most recent overlay transition.,Required,Both,missing,overlay,No typed overlay transition/last-result producer,Consume bounded authoritative lifecycle events with identity/time; do not infer from a successful service oneshot.
SV032,252,Telemetry.SourceTimestamp,"Time when each source sample was obtained, preserved across all forwarding interfaces.",Required,Both,partial,telemetry,Per-collector timestamps/MeasurementQuality and alarms on new observations,Legacy/cached fields and downstream forwarding lack universal preserved quality/source timestamps; NotApplicable is not a general enum state.
SV033,253,Telemetry.Quality,"Validity of each sample: Good, Stale, Invalid, Unavailable or NotApplicable.",Required,Both,partial,telemetry,Per-collector timestamps/MeasurementQuality and alarms on new observations,Legacy/cached fields and downstream forwarding lack universal preserved quality/source timestamps; NotApplicable is not a general enum state.
SV034,254,Telemetry.SampleSequence,Producer sequence/epoch metadata used to identify missing or repeated samples.,Required,Both,partial,telemetry,"Heartbeat, Configure attempt sequence and some source counters",No universal per-sample sequence/epoch; repeated timestamps or status requests are not sample-generation proof.
SV035,255,Counters.Epoch,Counter reset/initialization epoch so monitoring can distinguish reset from rollover.,Required,Self-trigger,missing,counters,No complete hardware counter reset/initialization epoch,Add explicit firmware reset/programming/counter epoch evidence; identical image reloads between samples can evade detection.
SV036,256,Counters.NativeWidth,"Native hardware width of each diagnostic counter, independent of protobuf storage type.",Required,Self-trigger,partial,counters,Some counter width metadata (e.g. management export width); trigger values use uint64,Expose actual native hardware widths per counter independently of protobuf/export width; do not label all counters 64-bit.
